token_id,count,weight
146558,4618,0.735028815930907
72897,4618,0.735028815930907
276620,4618,0.735028815930907
35448,4618,0.735028815930907
95367,4618,0.735028815930907
111641,4618,0.735028815930907
41602,4618,0.735028815930907
302453,4618,0.735028815930907
170925,4618,0.735028815930907
177341,4618,0.735028815930907
242276,4618,0.735028815930907
255142,4618,0.735028815930907
133649,4618,0.735028815930907
214693,4618,0.735028815930907
80218,4618,0.735028815930907
142291,4618,0.735028815930907
244907,4618,0.735028815930907
160803,4618,0.735028815930907
197026,4618,0.735028815930907
143712,4618,0.735028815930907
172462,4618,0.735028815930907
10936,4618,0.735028815930907
264380,4618,0.735028815930907
174796,4618,0.735028815930907
38988,4617,0.7348696498815499
134488,4617,0.7348696498815499
191907,4617,0.7348696498815499
206354,4617,0.7348696498815499
57187,4617,0.7348696498815499
192044,4617,0.7348696498815499
114059,4617,0.7348696498815499
114209,4617,0.7348696498815499
250391,4617,0.7348696498815499
20375,4617,0.7348696498815499
226933,4617,0.7348696498815499
177367,4617,0.7348696498815499
373307,4617,0.7348696498815499
290440,4617,0.7348696498815499
114284,4617,0.7348696498815499
191996,4616,0.7347104838321928
372852,4616,0.7347104838321928
247083,4616,0.7347104838321928
227631,4616,0.7347104838321928
25304,4616,0.7347104838321928
382537,4616,0.7347104838321928
299281,4616,0.7347104838321928
83245,4616,0.7347104838321928
54523,4616,0.7347104838321928
145416,4616,0.7347104838321928
126217,4615,0.7345513177828358
6719,4615,0.7345513177828358
367167,4615,0.7345513177828358
236710,4615,0.7345513177828358
343959,4615,0.7345513177828358
83578,4615,0.7345513177828358
62308,4615,0.7345513177828358
320333,4615,0.7345513177828358
239863,4615,0.7345513177828358
307130,4615,0.7345513177828358
81721,4615,0.7345513177828358
111516,4615,0.7345513177828358
219512,4615,0.7345513177828358
113732,4615,0.7345513177828358
291694,4614,0.7343921517334787
142014,4614,0.7343921517334787
284666,4614,0.7343921517334787
74072,4614,0.7343921517334787
276648,4614,0.7343921517334787
137804,4614,0.7343921517334787
62051,4614,0.7343921517334787
288896,4614,0.7343921517334787
148030,4614,0.7343921517334787
195362,4614,0.7343921517334787
290812,4614,0.7343921517334787
271622,4614,0.7343921517334787
255042,4614,0.7343921517334787
129886,4614,0.7343921517334787
379767,4614,0.7343921517334787
38459,4614,0.7343921517334787
351892,4614,0.7343921517334787
80474,4614,0.7343921517334787
211016,4614,0.7343921517334787
222500,4613,0.7342329856841217
180372,4613,0.7342329856841217
227076,4613,0.7342329856841217
210114,4613,0.7342329856841217
189282,4613,0.7342329856841217
351521,4613,0.7342329856841217
289896,4613,0.7342329856841217
18041,4613,0.7342329856841217
221432,4613,0.7342329856841217
176368,4613,0.7342329856841217
177551,4613,0.7342329856841217
148768,4613,0.7342329856841217
132050,4613,0.7342329856841217
83706,4613,0.7342329856841217
52362,4612,0.7340738196347646
216957,4612,0.7340738196347646
239054,4612,0.7340738196347646
43702,4612,0.7340738196347646
11161,4612,0.7340738196347646
156697,4612,0.7340738196347646
367307,4612,0.7340738196347646
28118,4612,0.7340738196347646
176989,4612,0.7340738196347646
98822,4612,0.7340738196347646
113557,4612,0.7340738196347646
210685,4612,0.7340738196347646
138656,4612,0.7340738196347646
199541,4611,0.7339146535854075
303524,4611,0.7339146535854075
353156,4611,0.7339146535854075
228901,4611,0.7339146535854075
334516,4611,0.7339146535854075
7864,4611,0.7339146535854075
191912,4611,0.7339146535854075
138180,4611,0.7339146535854075
108983,4611,0.7339146535854075
19915,4611,0.7339146535854075
287233,4611,0.7339146535854075
134957,4611,0.7339146535854075
55331,4611,0.7339146535854075
129284,4611,0.7339146535854075
105957,4611,0.7339146535854075
195727,4610,0.7337554875360505
329234,4610,0.7337554875360505
260999,4610,0.7337554875360505
84821,4610,0.7337554875360505
161035,4610,0.7337554875360505
10340,4610,0.7337554875360505
39632,4610,0.7337554875360505
330916,4610,0.7337554875360505
359664,4610,0.7337554875360505
294680,4610,0.7337554875360505
346064,4610,0.7337554875360505
73392,4609,0.7335963214866934
20335,4609,0.7335963214866934
284376,4609,0.7335963214866934
376383,4609,0.7335963214866934
130001,4609,0.7335963214866934
155062,4609,0.7335963214866934
49988,4609,0.7335963214866934
152285,4609,0.7335963214866934
213012,4609,0.7335963214866934
113373,4609,0.7335963214866934
68048,4609,0.7335963214866934
161455,4609,0.7335963214866934
52390,4609,0.7335963214866934
133625,4609,0.7335963214866934
7941,4609,0.7335963214866934
117783,4609,0.7335963214866934
213454,4609,0.7335963214866934
114160,4609,0.7335963214866934
